epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,15.1074,1.68897,1.06696,1.22399,0.92547,0.61851,0.83754,0.35979,2.08403,2.19962,1.28488,0.00144476,0.00144476,0.00144476
12,16.2441,1.65151,1.01875,1.21936,0.83215,0.7052,0.80623,0.21665,2.57611,1.88473,1.4611,0.00156961,0.00156961,0.00156961
13,17.403,1.66511,1.01689,1.22546,0.85546,0.77396,0.86636,0.27562,2.38404,1.62551,1.36553,0.00169308,0.00169308,0.00169308
14,18.5552,1.66284,0.96694,1.22151,0.82198,0.79249,0.82747,0.18785,2.81019,1.40042,1.67376,0.00181516,0.00181516,0.00181516
15,19.673,1.65781,0.95293,1.23099,0.87746,0.87304,0.9163,0.27515,2.59002,1.19197,1.53044,0.0018614,0.0018614,0.0018614
16,20.8301,1.60772,0.92448,1.18686,0.91916,0.91012,0.96356,0.48452,1.90677,0.98062,1.14952,0.0018515,0.0018515,0.0018515
17,21.9856,1.70479,0.91808,1.24239,0.92401,0.90958,0.96511,0.52194,1.78411,0.91068,1.10306,0.0018416,0.0018416,0.0018416
18,23.3002,1.61995,0.89501,1.19993,0.90623,0.91568,0.93817,0.27631,2.57779,1.04909,1.45264,0.0018317,0.0018317,0.0018317
19,24.4444,1.62693,0.88625,1.20703,0.9332,0.95309,0.97002,0.36877,2.21091,0.94951,1.26628,0.0018218,0.0018218,0.0018218
20,25.5967,1.555,0.88878,1.18256,0.94255,0.94938,0.97306,0.36338,2.266,0.93409,1.28188,0.0018119,0.0018119,0.0018119
21,26.7271,1.58585,0.84423,1.20104,0.8975,0.89604,0.92418,0.26916,2.57716,1.02371,1.45258,0.001802,0.001802,0.001802
22,27.8379,1.63034,0.83943,1.21899,0.86918,0.82972,0.84987,0.22466,2.73078,1.11232,1.50678,0.0017921,0.0017921,0.0017921
23,28.9888,1.58562,0.81465,1.19518,0.90307,0.84488,0.93516,0.56339,1.59383,1.3514,1.02396,0.0017822,0.0017822,0.0017822
24,30.1843,1.60458,0.81445,1.20036,0.93031,0.87845,0.91552,0.26118,2.54264,1.03337,1.42524,0.0017723,0.0017723,0.0017723
25,31.3621,1.50606,0.7822,1.16091,0.8973,0.87304,0.89306,0.22593,2.71636,1.11086,1.54617,0.0017624,0.0017624,0.0017624
26,32.5477,1.54757,0.78313,1.18047,0.96696,0.92312,0.9706,0.39022,2.14921,0.95807,1.22867,0.0017525,0.0017525,0.0017525
27,33.6824,1.58338,0.78406,1.21346,0.95727,0.9098,0.96175,0.39815,2.05801,0.97321,1.19929,0.0017426,0.0017426,0.0017426
28,34.8394,1.47472,0.77678,1.17414,0.93889,0.89361,0.94572,0.3223,2.33159,1.06358,1.31436,0.0017327,0.0017327,0.0017327
